role,company_size,company_focus,company_age,ai_use_extent,ai_technologies,ai_purposes,ai_improves_decision,agile_frameworks,agile_ceremony_frequency,agile_in_strategy,agile_enables_adaptability,ai_disruption_response,market_resilience,ai_enables_fast_adjustment,ai_agile_improves_adaptability,ai_benefits,ai_challenges
Strategy / Operations Manager,11 - 50 employees,Education,More than 6 years,2,Chatbots / Virtual Assistants,We do not use AI in strategic contexts,1,We don’t use Agile,1,1,1,2,3,2,1,IT can aid in forming ideas ,I have not faced any issues 
Founder / Co - Founder,1 - 10 employees,Video Production,Less than 1 year,3,Predictive Analytics;Recommendation Systems,Market analysis;Customer segmentation;Risk management,4,Lean Startup,1,2,2,2,2,4,4, I think the most important thing about using AI is how easy it is to use and the fact that it's available to you at any time of day. It also provides useful information tailored to your specific needs.,-
CEO / CTO,1 - 10 employees,Retail,More than 6 years,1,We do not use AI,We do not use AI in strategic contexts,1,We don’t use Agile,1,1,1,3,3,3,3,"AI can rapidly process vast amounts of data—internal operations, market trends, competitor actions, and customer behavior—much faster and more comprehensively than humans alone. In volatile environments, AI can support dynamic strategy updates by continuously analyzing incoming data and suggesting adjustments.",-
Senior,Over 250 employees,Finance,More than 6 years,5,Machine Learning;Predictive Analytics,Risk management;Forecasting trends,5,We don’t use Agile,1,1,1,5,3,5,3,Time saving,-
Marketing,Over 250 employees,"E-commerce;B2B Retail, B2C Retail",More than 6 years,2,Predictive Analytics;Chatbots / Virtual Assistants,We do not use AI in strategic contexts,1,We don’t use Agile,1,1,1,1,4,1,1,"If it has been trained on historic data it can come with different aproaches, that maybe are not that obvious.",No
Software developer,Over 250 employees,Software Development,More than 6 years,5,Recommendation Systems,Decision-making support,3,Scrum,5,5,5,3,2,3,4,Faster decision making process,No
Digital Forensic Examinator,Over 250 employees,Police Investigations,More than 6 years,2,Predictive Analytics;We do not use AI,We do not use AI in strategic contexts,1,We don’t use Agile,1,1,1,1,1,1,1,"Unfortunately, we don’t use AI for strategy development.",Not applicable. 
Strategy / Operations Manager,51 - 100 employees,E-commerce,4 - 6 years,3,Predictive Analytics,Risk management,3,Lean Startup,3,2,3,3,3,3,3,Raspunusul unor intrebari,"Da , mai multe erori"
Strategy / Operations Manager,51 - 100 employees,Software Development,1 - 3 years,3,Machine Learning;Predictive Analytics;Chatbots / Virtual Assistants,Market analysis;Decision-making support;Forecasting trends,4,Scrum,4,3,3,2,3,2,2,forecasting,hard to develop new networks
Strategy / Operations Manager,101 - 250 employees,Software Development;FinTech,More than 6 years,3,Machine Learning;Chatbots / Virtual Assistants;Recommendation Systems,Decision-making support;Product development;Forecasting trends,3,Scrum,4,4,4,2,3,3,4,-,-
Developer,101 - 250 employees,Software Development,More than 6 years,2,Chatbots / Virtual Assistants,Product development;We do not use AI in strategic contexts,2,We don’t use Agile,1,1,1,1,1,1,1,"AI is revolutionizing business decision-making. By analyzing vast amounts of data, AI can help you identify patterns and trends not easily detected by human analysts. This capability can help you make more informed, strategic decisions and reduce the risk of errors.","No, I don't think so"
Consulting Manager,51 - 100 employees,Consulting,More than 6 years,1,Natural Language Processing;Chatbots / Virtual Assistants,Decision-making support,2,Scrum;Kanban,2,2,2,2,2,2,2,analyzing huge amount of data to take better decisions,"yes, implementing this in integration with existing processes is a real challenge"
Founder / Co - Founder,1 - 10 employees,E-commerce,1 - 3 years,2,Natural Language Processing,Market analysis;Product development,3,We don’t use Agile,1,1,1,3,3,5,3,"Marketing, planning, learning about new costumers and shorter time, better contents. ",I don't use Agile yet. 
Founder / Co - Founder,1 - 10 employees,HealthTech,More than 6 years,1,We do not use AI,We do not use AI in strategic contexts,1,We don’t use Agile,1,1,1,3,2,1,1,I will use for the social media posts,I will just start to implement
